Experiment,Dist,N,M,Seed,Algo,Params,Time,Obj,Status,Gap
pilot_b_tuning,job_correlated,30,5,2201,IG,"d=2,T=0.5,t=5.0s",5.0,313,HEURISTIC,5.033557046979865
pilot_b_tuning,job_correlated,30,5,2201,IG,"d=4,T=0.1,t=5.0s",5.0,305,HEURISTIC,2.348993288590604
pilot_b_tuning,job_correlated,30,5,2201,IG,"d=4,T=0.5,t=5.0s",5.0,311,HEURISTIC,4.3624161073825505
pilot_b_tuning,job_correlated,30,5,2201,IG,"d=6,T=0.1,t=5.0s",5.0,305,HEURISTIC,2.348993288590604
pilot_b_tuning,job_correlated,30,5,2201,IG,"d=6,T=0.5,t=5.0s",5.0,314,HEURISTIC,5.369127516778524
pilot_b_tuning,job_correlated,30,5,2202,IG,"d=2,T=0.1,t=5.0s",5.0,323,HEURISTIC,3.1948881789137378
pilot_b_tuning,job_correlated,30,5,2202,IG,"d=2,T=0.5,t=5.0s",5.0,327,HEURISTIC,4.472843450479233
pilot_b_tuning,job_correlated,30,5,2202,IG,"d=4,T=0.1,t=5.0s",5.0,319,HEURISTIC,1.9169329073482428
pilot_b_tuning,job_correlated,30,5,2202,IG,"d=4,T=0.5,t=5.0s",5.0,325,HEURISTIC,3.8338658146964857
pilot_b_tuning,job_correlated,30,5,2202,IG,"d=6,T=0.1,t=5.0s",5.0,320,HEURISTIC,2.2364217252396164
pilot_b_tuning,job_correlated,30,5,2202,IG,"d=6,T=0.5,t=5.0s",5.0,325,HEURISTIC,3.8338658146964857
pilot_b_tuning,job_correlated,30,5,2203,IG,"d=2,T=0.1,t=5.0s",5.0,337,HEURISTIC,2.1212121212121215
pilot_b_tuning,job_correlated,30,5,2203,IG,"d=2,T=0.5,t=5.0s",5.0,344,HEURISTIC,4.242424242424243
pilot_b_tuning,job_correlated,30,5,2203,IG,"d=4,T=0.1,t=5.0s",5.0,336,HEURISTIC,1.8181818181818181
pilot_b_tuning,job_correlated,30,5,2203,IG,"d=4,T=0.5,t=5.0s",5.0,342,HEURISTIC,3.6363636363636362
pilot_b_tuning,job_correlated,30,5,2203,IG,"d=6,T=0.1,t=5.0s",5.0,335,HEURISTIC,1.5151515151515151
pilot_b_tuning,job_correlated,30,5,2203,IG,"d=6,T=0.5,t=5.0s",5.0,343,HEURISTIC,3.939393939393939
pilot_b_tuning,uniform,30,5,2194,IG,"d=2,T=0.1,t=5.0s",5.0,164,HEURISTIC,7.18954248366013
pilot_b_tuning,uniform,30,5,2194,IG,"d=2,T=0.5,t=5.0s",5.0,163,HEURISTIC,6.535947712418301
pilot_b_tuning,uniform,30,5,2194,IG,"d=4,T=0.1,t=5.0s",5.0,163,HEURISTIC,6.535947712418301
pilot_b_tuning,uniform,30,5,2194,IG,"d=4,T=0.5,t=5.0s",5.0,163,HEURISTIC,6.535947712418301
pilot_b_tuning,uniform,30,5,2194,IG,"d=6,T=0.1,t=5.0s",5.0,163,HEURISTIC,6.535947712418301
pilot_b_tuning,uniform,30,5,2194,IG,"d=6,T=0.5,t=5.0s",5.0,163,HEURISTIC,6.535947712418301
pilot_b_tuning,uniform,30,5,2195,IG,"d=2,T=0.1,t=5.0s",5.0,184,HEURISTIC,6.358381502890173
pilot_b_tuning,uniform,30,5,2195,IG,"d=2,T=0.5,t=5.0s",5.0,182,HEURISTIC,5.202312138728324
pilot_b_tuning,uniform,30,5,2195,IG,"d=4,T=0.1,t=5.0s",5.0,182,HEURISTIC,5.202312138728324
pilot_b_tuning,uniform,30,5,2195,IG,"d=4,T=0.5,t=5.0s",5.0,181,HEURISTIC,4.624277456647398
pilot_b_tuning,uniform,30,5,2195,IG,"d=6,T=0.1,t=5.0s",5.0,181,HEURISTIC,4.624277456647398
pilot_b_tuning,uniform,30,5,2195,IG,"d=6,T=0.5,t=5.0s",5.0,181,HEURISTIC,4.624277456647398
pilot_b_tuning,uniform,30,5,2196,IG,"d=2,T=0.1,t=5.0s",5.0,163,HEURISTIC,8.666666666666668
pilot_b_tuning,uniform,30,5,2196,IG,"d=2,T=0.5,t=5.0s",5.0,158,HEURISTIC,5.333333333333334
pilot_b_tuning,uniform,30,5,2196,IG,"d=4,T=0.1,t=5.0s",5.0,158,HEURISTIC,5.333333333333334
pilot_b_tuning,uniform,30,5,2196,IG,"d=4,T=0.5,t=5.0s",5.0,157,HEURISTIC,4.666666666666667
pilot_b_tuning,uniform,30,5,2196,IG,"d=6,T=0.1,t=5.0s",5.0,157,HEURISTIC,4.666666666666667
pilot_b_tuning,uniform,30,5,2196,IG,"d=6,T=0.5,t=5.0s",5.0,157,HEURISTIC,4.666666666666667
pilot_b_tuning,uniform,30,5,2197,IG,"d=2,T=0.1,t=5.0s",5.0,151,HEURISTIC,10.218978102189782
pilot_b_tuning,uniform,30,5,2197,IG,"d=2,T=0.5,t=5.0s",5.0,149,HEURISTIC,8.75912408759124
pilot_b_tuning,uniform,30,5,2197,IG,"d=4,T=0.1,t=5.0s",5.0,149,HEURISTIC,8.75912408759124
pilot_b_tuning,uniform,30,5,2197,IG,"d=4,T=0.5,t=5.0s",5.0,149,HEURISTIC,8.75912408759124
pilot_b_tuning,uniform,30,5,2197,IG,"d=6,T=0.1,t=5.0s",5.0,149,HEURISTIC,8.75912408759124
pilot_b_tuning,uniform,30,5,2197,IG,"d=6,T=0.5,t=5.0s",5.0,149,HEURISTIC,8.75912408759124
pilot_b_tuning,uniform,30,5,2198,IG,"d=2,T=0.1,t=5.0s",5.0,187,HEURISTIC,6.857142857142858
pilot_b_tuning,uniform,30,5,2198,IG,"d=2,T=0.5,t=5.0s",5.0,187,HEURISTIC,6.857142857142858
pilot_b_tuning,uniform,30,5,2198,IG,"d=4,T=0.1,t=5.0s",5.0,186,HEURISTIC,6.2857142857142865
pilot_b_tuning,uniform,30,5,2198,IG,"d=4,T=0.5,t=5.0s",5.0,185,HEURISTIC,5.714285714285714
pilot_b_tuning,uniform,30,5,2198,IG,"d=6,T=0.1,t=5.0s",5.0,186,HEURISTIC,6.2857142857142865
