Experiment,Dist,N,M,Replica,Seed,Algo,Params,Time,Obj,Status,Gap,Nodes
workhorse_final,job_correlated,12,2,0,2069,IG,"d=4,T=0.1,t=30s",30.0,361,HEURISTIC_OPT_GAP,0.0,552448
workhorse_final,job_correlated,12,2,1,2070,BnB,TL=60s,0.0,231,OPTIMAL,1.762114537444934,259
workhorse_final,job_correlated,12,2,1,2070,IG,"d=4,T=0.1,t=30s",30.0,231,HEURISTIC_OPT_GAP,0.0,542164
workhorse_final,job_correlated,12,2,2,2071,BnB,TL=60s,0.0,293,OPTIMAL,2.0905923344947737,300
workhorse_final,job_correlated,12,2,2,2071,IG,"d=4,T=0.1,t=30s",30.0,293,HEURISTIC_OPT_GAP,0.0,545153
workhorse_final,job_correlated,12,2,3,2072,BnB,TL=60s,0.0,449,OPTIMAL,0.672645739910314,976
workhorse_final,job_correlated,12,2,3,2072,IG,"d=4,T=0.1,t=30s",30.0,449,HEURISTIC_OPT_GAP,0.0,547510
workhorse_final,job_correlated,12,2,4,2073,BnB,TL=60s,0.0,300,OPTIMAL,2.73972602739726,264
workhorse_final,job_correlated,12,2,4,2073,IG,"d=4,T=0.1,t=30s",30.0,300,HEURISTIC_OPT_GAP,0.0,546926
workhorse_final,uniform,12,2,0,2064,BnB,TL=60s,0.0,233,OPTIMAL,9.90566037735849,127
workhorse_final,uniform,12,2,0,2064,IG,"d=4,T=0.1,t=30s",30.0,233,HEURISTIC_OPT_GAP,0.0,517745
workhorse_final,uniform,12,2,1,2065,BnB,TL=60s,0.0,236,OPTIMAL,3.508771929824561,169
workhorse_final,uniform,12,2,1,2065,IG,"d=4,T=0.1,t=30s",30.0,236,HEURISTIC_OPT_GAP,0.0,517598
workhorse_final,uniform,12,2,2,2066,BnB,TL=60s,0.0,291,OPTIMAL,2.8268551236749118,280
workhorse_final,uniform,12,2,2,2066,IG,"d=4,T=0.1,t=30s",30.0,291,HEURISTIC_OPT_GAP,0.0,538948
workhorse_final,uniform,12,2,3,2067,BnB,TL=60s,0.0,273,OPTIMAL,1.486988847583643,151
workhorse_final,uniform,12,2,3,2067,IG,"d=4,T=0.1,t=30s",30.0,273,HEURISTIC_OPT_GAP,0.0,519846
workhorse_final,uniform,12,2,4,2068,BnB,TL=60s,0.0,252,OPTIMAL,5.439330543933055,135
workhorse_final,uniform,12,2,4,2068,IG,"d=4,T=0.1,t=30s",30.0,252,HEURISTIC_OPT_GAP,0.0,546865
workhorse_final,job_correlated,12,4,0,2079,BnB,TL=60s,0.0,165,OPTIMAL,5.769230769230769,3108
workhorse_final,job_correlated,12,4,0,2079,IG,"d=4,T=0.1,t=30s",30.0,165,HEURISTIC_OPT_GAP,0.0,545997
workhorse_final,job_correlated,12,4,1,2080,BnB,TL=60s,0.015625,195,OPTIMAL,7.142857142857142,4721
workhorse_final,job_correlated,12,4,1,2080,IG,"d=4,T=0.1,t=30s",30.0,195,HEURISTIC_OPT_GAP,0.0,549867
workhorse_final,job_correlated,12,4,2,2081,BnB,TL=60s,0.0,168,OPTIMAL,7.6923076923076925,2421
workhorse_final,job_correlated,12,4,2,2081,IG,"d=4,T=0.1,t=30s",30.0,168,HEURISTIC_OPT_GAP,0.0,568002
workhorse_final,job_correlated,12,4,3,2082,BnB,TL=60s,0.0,152,OPTIMAL,9.352517985611511,1927
workhorse_final,job_correlated,12,4,3,2082,IG,"d=4,T=0.1,t=30s",30.0,152,HEURISTIC_OPT_GAP,0.0,570067
workhorse_final,job_correlated,12,4,4,2083,BnB,TL=60s,0.0,135,OPTIMAL,11.570247933884298,675
workhorse_final,job_correlated,12,4,4,2083,IG,"d=4,T=0.1,t=30s",30.0,135,HEURISTIC_OPT_GAP,0.0,574736
workhorse_final,uniform,12,4,0,2074,BnB,TL=60s,0.0,93,OPTIMAL,10.714285714285714,350
workhorse_final,uniform,12,4,0,2074,IG,"d=4,T=0.1,t=30s",30.0,93,HEURISTIC_OPT_GAP,0.0,565022
workhorse_final,uniform,12,4,1,2075,BnB,TL=60s,0.0,89,OPTIMAL,12.658227848101266,174
workhorse_final,uniform,12,4,1,2075,IG,"d=4,T=0.1,t=30s",30.0,89,HEURISTIC_OPT_GAP,0.0,516074
workhorse_final,uniform,12,4,2,2076,BnB,TL=60s,0.0,110,OPTIMAL,14.583333333333334,293
workhorse_final,uniform,12,4,2,2076,IG,"d=4,T=0.1,t=30s",30.0,110,HEURISTIC_OPT_GAP,0.0,546400
workhorse_final,uniform,12,4,3,2077,BnB,TL=60s,0.0,116,OPTIMAL,14.85148514851485,655
workhorse_final,uniform,12,4,3,2077,IG,"d=4,T=0.1,t=30s",30.0,116,HEURISTIC_OPT_GAP,0.0,553155
workhorse_final,uniform,12,4,4,2078,BnB,TL=60s,0.0,97,OPTIMAL,19.753086419753085,230
workhorse_final,uniform,12,4,4,2078,IG,"d=4,T=0.1,t=30s",30.0,97,HEURISTIC_OPT_GAP,0.0,535990
workhorse_final,job_correlated,14,2,0,2089,BnB,TL=60s,0.0,380,OPTIMAL,1.6042780748663104,1320
workhorse_final,job_correlated,14,2,0,2089,IG,"d=4,T=0.1,t=30s",30.0,380,HEURISTIC_OPT_GAP,0.0,530125
workhorse_final,job_correlated,14,2,1,2090,BnB,TL=60s,0.0,424,OPTIMAL,2.4154589371980677,1387
workhorse_final,job_correlated,14,2,1,2090,IG,"d=4,T=0.1,t=30s",30.0,424,HEURISTIC_OPT_GAP,0.0,506149
workhorse_final,job_correlated,14,2,2,2091,BnB,TL=60s,0.0,360,OPTIMAL,1.9830028328611897,1562
workhorse_final,job_correlated,14,2,2,2091,IG,"d=4,T=0.1,t=30s",30.0,360,HEURISTIC_OPT_GAP,0.0,531970
workhorse_final,job_correlated,14,2,3,2092,BnB,TL=60s,0.0,398,OPTIMAL,0.7594936708860759,1610
workhorse_final,job_correlated,14,2,3,2092,IG,"d=4,T=0.1,t=30s",30.0,398,HEURISTIC_OPT_GAP,0.0,519393
workhorse_final,job_correlated,14,2,4,2093,BnB,TL=60s,0.0,420,OPTIMAL,0.9615384615384616,1215
workhorse_final,job_correlated,14,2,4,2093,IG,"d=4,T=0.1,t=30s",30.0,420,HEURISTIC_OPT_GAP,0.0,527273
